bus,powerworld_I_mag_pu,python_I_mag_pu,delta_I_pu,abs_delta_I_pu,delta_I_percent_of_PW,abs_delta_I_percent_of_PW,powerworld_I_angle_deg,python_I_angle_deg,delta_I_angle_deg,abs_delta_I_angle_deg
31,52.76723,52.77210853408625,0.004878534086252273,0.004878534086252273,0.009245385983407265,0.009245385983407265,-100.71918,-100.70906189647386,0.010118103526139066,0.010118103526139066
27,17.83749,17.792808961009214,-0.04468103899078457,0.04468103899078457,-0.2504894970692882,0.2504894970692882,-100.01619,-100.00080346177222,0.015386538227772917,0.015386538227772917
10,18.41974,18.39409509782949,-0.025644902170512296,0.025644902170512296,-0.1392251039944771,0.1392251039944771,-101.29762,-101.28723917689014,0.010380823109869652,0.010380823109869652
12,23.06731,23.04112850458046,-0.026181495419539402,0.026181495419539402,-0.11350042731267497,0.11350042731267497,-101.05354,-101.04886485295054,0.004675147049454154,0.004675147049454154
13,10.51248,10.490677524323166,-0.02180247567683402,0.02180247567683402,-0.20739612039056457,0.20739612039056457,-93.35236,-93.34176197283661,0.01059802716338254,0.01059802716338254
15,26.3105,26.228721632042813,-0.08177836795718818,0.08177836795718818,-0.3108202731122106,0.3108202731122106,-99.28892,-99.25144059108312,0.037479408916880175,0.037479408916880175
55,10.54471,10.515517629596202,-0.029192370403798407,0.029192370403798407,-0.2768437482282434,0.2768437482282434,-89.19147,-89.18290910850669,0.008560891493289091,0.008560891493289091
16,19.27959,19.227325311760957,-0.052264688239041845,0.052264688239041845,-0.271088172720695,0.271088172720695,-99.52264,-99.50138373940763,0.021256260592366516,0.021256260592366516
17,12.19516,12.179242474617304,-0.01591752538269553,0.01591752538269553,-0.13052330090540454,0.13052330090540454,-95.22314,-95.22322511916904,-8.511916905717953e-05,8.511916905717953e-05
18,11.4083,11.399360218573698,-0.008939781426303028,0.008939781426303028,-0.07836208222349542,0.07836208222349542,-95.513,-95.52599682133803,-0.012996821338020936,0.012996821338020936
19,11.34571,11.330264741836451,-0.015445258163548914,0.015445258163548914,-0.13613302440789438,0.13613302440789438,-93.25393,-93.25246935718658,0.00146064281341296,0.00146064281341296
20,10.4842,10.484121388241357,-7.861175864221082e-05,7.861175864221082e-05,-0.0007498117037276169,0.0007498117037276169,-94.58946,-94.61990154779501,-0.030441547795021506,0.030441547795021506
21,16.17509,16.092790097416078,-0.08229990258392306,0.08229990258392306,-0.5088064584736348,0.5088064584736348,-99.42781,-99.36839924559959,0.05941075440040322,0.05941075440040322
5,11.95804,11.953229109564342,-0.004810890435658521,0.004810890435658521,-0.04023142952907434,0.04023142952907434,-94.88657,-94.91022977016061,-0.02365977016060583,0.02365977016060583
1,32.50244,32.49829632884024,-0.004143671159759776,0.004143671159759776,-0.012748800273947975,0.012748800273947975,-101.42146,-101.41394371752693,0.007516282473062574,0.007516282473062574
56,18.43645,18.43247066995663,-0.003979330043371476,0.003979330043371476,-0.0215840362074666,0.0215840362074666,-99.33762,-99.34115990656697,-0.003539906566970785,0.003539906566970785
29,35.56768,35.56506009618732,-0.002619903812686175,0.002619903812686175,-0.0073659676782016,0.0073659676782016,-101.54852,-101.55450194331915,-0.005981943319170568,0.005981943319170568
30,21.05182,21.0488227029227,-0.0029972970773002316,0.0029972970773002316,-0.014237709980895864,0.014237709980895864,-100.64835,-100.66524613836621,-0.016896138366234936,0.016896138366234936
3,20.42385,20.41157815675392,-0.01227184324608288,0.01227184324608288,-0.06008584691957138,0.06008584691957138,-102.34275,-102.34966283903162,-0.006912839031627982,0.006912839031627982
32,21.83265,21.82989772468831,-0.0027522753116926424,0.0027522753116926424,-0.01260623566856356,0.01260623566856356,-100.15376,-100.1694537786243,-0.01569377862429633,0.01569377862429633
