bus,I_SCC_base_pu,I_SCC_scenario_pu,delta_I_SCC_pu,delta_I_SCC_pct,SCL_base_pu,SCL_scenario_pu,delta_SCL_pu,delta_SCL_pct,SCL_base_MVA,SCL_scenario_MVA,delta_SCL_MVA,V_base_pu,V_scenario_pu,delta_V_pu,delta_V_pct
31,52.77210853408625,52.7522602086508,-0.019848325435447123,-0.03761139356906084,52.77210853408625,52.7522602086508,-0.019848325435447123,-0.03761139356906084,5277.210853408625,5275.22602086508,-1.9848325435450533,1.03,1.03,0.0,0.0
27,17.792808961009214,17.741129314898338,-0.05167964611087683,-0.2904524306652565,17.792808961009214,17.741129314898338,-0.05167964611087683,-0.2904524306652565,1779.2808961009214,1774.1129314898335,-5.167964611087882,0.9929766970736976,0.99306432519177,8.762811807239146e-05,0.008824790987606409
10,18.39409509782949,18.354059823002277,-0.040035274827211254,-0.21765286421692706,18.39409509782949,18.354059823002277,-0.040035274827211254,-0.21765286421692706,1839.4095097829488,1835.4059823002276,-4.003527482721211,1.0194443233226258,1.0195613484335508,0.00011702511092503975,0.011479303797938219
12,23.04112850458046,22.909955948780787,-0.13117255579967235,-0.5692974446698473,23.04112850458046,22.909955948780787,-0.13117255579967235,-0.5692974446698473,2304.112850458046,2290.995594878079,-13.11725557996715,1.0205522583837412,1.02045368366693,-9.85747168111839e-05,-0.009658958274934168
13,10.490677524323166,10.478484380352468,-0.012193143970698372,-0.11622837459666406,10.490677524323166,10.478484380352468,-0.012193143970698372,-0.11622837459666406,1049.0677524323166,1047.8484380352468,-1.2193143970698657,1.0012654184761305,1.0014174915279226,0.00015207305179210096,0.015188085894701883
15,26.228721632042813,26.14071299248369,-0.08800863955912419,-0.33554300050829305,26.228721632042813,26.14071299248369,-0.08800863955912419,-0.33554300050829305,2622.872163204281,2614.071299248369,-8.800863955912064,0.985929029738666,0.986107366161596,0.00017833642292996998,0.018088160258070553
55,10.515517629596202,10.505754378910714,-0.00976325068548789,-0.09284612540621837,10.515517629596202,10.505754378910714,-0.00976325068548789,-0.09284612540621837,1051.5517629596202,1050.5754378910715,-0.9763250685487037,0.9908234072226244,0.9911943434573676,0.00037093623474315773,0.037437169130161
16,19.22732531176096,19.171828696777187,-0.055496614983773895,-0.288634087601502,19.22732531176096,19.171828696777187,-0.055496614983773895,-0.288634087601502,1922.732531176096,1917.1828696777184,-5.549661498377645,0.9883659333977152,0.9884852211216388,0.00011928772392366671,0.012069186107375245
17,12.179242474617304,12.148183179495792,-0.031059295121512065,-0.2550182836596166,12.179242474617304,12.148183179495792,-0.031059295121512065,-0.2550182836596166,1217.9242474617304,1214.8183179495793,-3.1059295121510786,1.0114701949647038,1.011341192591296,-0.00012900237340773835,-0.012753947081183149
18,11.399360218573698,11.354387237412984,-0.04497298116071313,-0.3945219757810251,11.399360218573698,11.354387237412984,-0.04497298116071313,-0.3945219757810251,1139.9360218573695,1135.4387237412982,-4.497298116071306,1.0080890517129473,1.0081417530082482,5.270129530088319e-05,0.005227841251854985
