bus,I_SCC_base_pu,I_SCC_scenario_pu,delta_I_SCC_pu,delta_I_SCC_pct,SCL_base_pu,SCL_scenario_pu,delta_SCL_pu,delta_SCL_pct,SCL_base_MVA,SCL_scenario_MVA,delta_SCL_MVA,V_base_pu,V_scenario_pu,delta_V_pu,delta_V_pct
31,52.77210853408625,52.77711248618906,0.005003952102811127,0.00948219095619233,52.77210853408625,52.77711248618906,0.005003952102811127,0.00948219095619233,5277.210853408625,5277.711248618906,0.5003952102815674,1.03,1.03,0.0,0.0
27,17.792808961009214,17.78327426972724,-0.009534691281974261,-0.053587330156066884,17.792808961009214,17.78327426972724,-0.009534691281974261,-0.053587330156066884,1779.2808961009214,1778.327426972724,-0.9534691281974119,0.9929766970736976,0.9921531091922924,-0.0008235878814052411,-0.08294131008636503
10,18.39409509782949,18.38836000711811,-0.0057350907113793426,-0.031178977171081854,18.39409509782949,18.38836000711811,-0.0057350907113793426,-0.031178977171081854,1839.4095097829488,1838.8360007118108,-0.5735090711380053,1.0194443233226258,1.018989705714683,-0.0004546176079427422,-0.044594648039338616
12,23.04112850458046,23.035933316947546,-0.0051951876329141555,-0.022547453055007174,23.04112850458046,23.035933316947546,-0.0051951876329141555,-0.022547453055007174,2304.112850458046,2303.5933316947544,-0.5195187632916713,1.0205522583837412,1.02015601618374,-0.0003962422000012289,-0.0388262528200919
13,10.490677524323166,10.485154800511838,-0.005522723811328234,-0.052644109958804086,10.490677524323166,10.485154800511838,-0.005522723811328234,-0.052644109958804086,1049.0677524323166,1048.515480051184,-0.552272381132525,1.0012654184761305,1.0006136477638483,-0.0006517707122821736,-0.06509469919316019
15,26.228721632042813,26.215478271548218,-0.01324336049459518,-0.0504918260233323,26.228721632042813,26.215478271548218,-0.01324336049459518,-0.0504918260233323,2622.872163204281,2621.547827154822,-1.3243360494593617,0.985929029738666,0.9849064145640322,-0.0010226151746338674,-0.10372097217838545
55,10.515517629596202,10.508296307176703,-0.007221322419498577,-0.06867300948812995,10.515517629596202,10.508296307176703,-0.007221322419498577,-0.06867300948812995,1051.5517629596202,1050.8296307176704,-0.7221322419497938,0.9908234072226244,0.989981518864507,-0.0008418883581173819,-0.08496855766430447
16,19.22732531176096,19.2166751148774,-0.01065019688356017,-0.05539094341450427,19.22732531176096,19.2166751148774,-0.01065019688356017,-0.05539094341450427,1922.732531176096,1921.66751148774,-1.0650196883559602,0.9883659333977152,0.9874683794402848,-0.0008975539574304081,-0.09081190752344916
17,12.179242474617304,12.175293503037484,-0.003948971579820437,-0.03242378652079937,12.179242474617304,12.175293503037484,-0.003948971579820437,-0.03242378652079937,1217.9242474617304,1217.5293503037483,-0.39489715798208636,1.0114701949647038,1.0110437020509733,-0.0004264929137305362,-0.042165643224456956
18,11.399360218573698,11.397199159677449,-0.0021610588962488464,-0.01895772091426409,11.399360218573698,11.397199159677449,-0.0021610588962488464,-0.01895772091426409,1139.9360218573695,1139.7199159677448,-0.2161058896247141,1.0080890517129473,1.007823580326228,-0.0002654713867191738,-0.026334120608500232
19,11.330264741836451,11.326372761068908,-0.0038919807675430462,-0.03435030739548474,11.330264741836451,11.326372761068908,-0.0038919807675430462,-0.03435030739548474,1133.0264741836452,1132.6372761068906,-0.38919807675461016,1.0113629667262565,1.0109273507190095,-0.0004356160072469528,-0.04307217305543877
20,10.484121388241356,10.484129932145938,8.54390458293608e-06,8.149375867126683e-05,10.484121388241356,10.484129932145938,8.54390458293608e-06,8.149375867126683e-05,1048.4121388241358,1048.4129932145938,0.0008543904580164963,1.00820064387262,1.0081981418285946,-2.5020440255207888e-06,-0.0002481692548727341
21,16.092790097416078,11.777287262549676,-4.315502834866402,-26.816374343683986,16.092790097416078,11.777287262549676,-4.315502834866402,-26.816374343683986,1609.2790097416078,1177.7287262549676,-431.5502834866402,0.9819328077693118,0.9669374014583276,-0.014995406310984172,-1.5271316114846714
5,11.953229109564342,11.952197474937323,-0.0010316346270187182,-0.008630593604143828,11.953229109564342,11.952197474937323,-0.0010316346270187182,-0.008630593604143828,1195.3229109564345,1195.2197474937325,-0.10316346270201393,1.010076887616059,1.009939475575674,-0.00013741204038497656,-0.01360411688156638
1,32.49829632884024,32.49871568776952,0.00041935892927824625,0.0012904028107654708,32.49829632884024,32.49871568776952,0.00041935892927824625,0.0012904028107654708,3249.829632884024,3249.871568776952,0.041935892927995155,1.0224242970849968,1.0223579652894257,-6.633179557113955e-05,-0.00648769750095495
56,18.43247066995663,18.43168623269664,-0.0007844372599876692,-0.004255735837226833,18.43247066995663,18.43168623269664,-0.0007844372599876692,-0.004255735837226833,1843.2470669956629,1843.168623269664,-0.07844372599879534,1.0220678700978654,1.0219946977546357,-7.317234322967714e-05,-0.007159245033568145
29,35.56506009618732,35.56520304866841,0.0001429524810916405,0.0004019464066840293,35.56506009618732,35.56520304866841,0.0001429524810916405,0.0004019464066840293,3556.506009618732,3556.520304866841,0.014295248108737724,1.0235014369213289,1.0234681530945555,-3.3283826773367053e-05,-0.003251957014685208
30,21.0488227029227,21.04836845884072,-0.0004542440819790272,-0.002158049827252115,21.0488227029227,21.04836845884072,-0.0004542440819790272,-0.002158049827252115,2104.88227029227,2104.836845884072,-0.045424408197959565,1.005682158356925,1.0056266723938094,-5.548596311566456e-05,-0.005517246443579853
3,20.41157815675392,20.409015767041563,-0.0025623897123558947,-0.012553608999155384,20.41157815675392,20.409015767041563,-0.0025623897123558947,-0.012553608999155384,2041.157815675392,2040.901576704156,-0.2562389712359163,0.9979754768324786,0.9977692430691154,-0.00020623376336315058,-0.02066521353988834
32,21.82989772468831,21.82949506230682,-0.0004026623814894492,-0.0018445454329090243,21.82989772468831,21.82949506230682,-0.0004026623814894492,-0.0018445454329090243,2182.989772468831,2182.949506230682,-0.04026623814888808,1.0085709259799815,1.0085217070633443,-4.9218916637228105e-05,-0.004880064987933731
33,12.280887223533728,12.280742030592148,-0.000145192941580774,-0.0011822675262626171,12.280887223533728,12.280742030592148,-0.000145192941580774,-0.0011822675262626171,1228.0887223533728,1228.0742030592148,-0.014519294157935292,1.0124663766573148,1.0124422500775103,-2.4126579804439885e-05,-0.002382951213065904
34,11.847668661654987,11.847698595926826,2.993427183817232e-05,0.00025265959652513476,11.847668661654987,11.847698595926826,2.993427183817232e-05,0.00025265959652513476,1184.7668661654986,1184.7698595926825,0.0029934271838101267,1.0047193808309154,1.0047179733949236,-1.4074359917515267e-06,-0.00014008249652629968
35,25.045255828735392,25.04370614754024,-0.0015496811951507539,-0.006187523919690788,25.045255828735392,25.04370614754024,-0.0015496811951507539,-0.006187523919690788,2504.5255828735394,2504.370614754024,-0.1549681195156154,1.0230681221927391,1.0229379277675192,-0.00013019442521988722,-0.012725880358860353
37,10.864936884714494,10.862818364540184,-0.0021185201743101345,-0.01949868827393381,10.864936884714494,10.862818364540184,-0.0021185201743101345,-0.01949868827393381,1086.493688471449,1086.2818364540185,-0.21185201743060134,1.006712891459007,1.0064470188369865,-0.000265872622020602,-0.026409974907073915
38,39.46217910044949,39.46200684173752,-0.0001722587119701302,-0.00043651596515147367,39.46217910044949,39.46200684173752,-0.0001722587119701302,-0.00043651596515147367,3946.217910044949,3946.200684173752,-0.01722587119684249,1.0225611069046237,1.0224466954696287,-0.00011441143499490991,-0.011188713732839176
39,34.96586903118704,34.95966629053976,-0.006202740647282212,-0.01773941509004056,34.96586903118704,34.95966629053976,-0.006202740647282212,-0.01773941509004056,3496.586903118704,3495.966629053976,-0.6202740647281644,1.0088301220610327,1.0084555429001547,-0.0003745791608780191,-0.03713005318603657
40,27.85433830999096,27.85020332512349,-0.004134984867469882,-0.014845029960689178,27.85433830999096,27.85020332512349,-0.004134984867469882,-0.014845029960689178,2785.433830999096,2785.0203325123493,-0.4134984867464482,0.9981007107167016,0.9978097201801736,-0.0002909905365280352,-0.029154426342316193
41,27.900460245110796,27.90020731738461,-0.00025292772618712434,-0.0009065360354815177,27.900460245110796,27.90020731738461,-0.00025292772618712434,-0.0009065360354815177,2790.0460245110794,2790.020731738461,-0.025292772618286108,1.0006660672908492,1.0005916848905774,-7.438240027179965e-05,-0.007433288956542582
